"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","specExpensesSubject","costAmount","specExpensesMovableSubject","specExpensesRealtySubject","dnt_specExpenses_encoded","specExpensesOtherMovableSubject","type","specExpensesAssetsSubject","iteration","specExpensesOtherRealtySubject","specExpensesOtherSubject","specExpenses","dnt_costAmount_hidden","specOtherExpenses","object_id","person","costsAmount","country","declarant","subjectRelation"
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","Рухоме майно",0,"Транспортний засіб","","property_end","","2","","1490272369946","","","Право власності (у тому числі спільної власності), володіння чи користування суб’єкта декларування припинено","TRUE","","1490272369946",NA,NA,NA,"Абдуллін Олександр Рафкатович",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","Рухоме майно",0,"Транспортний засіб","","property_end","","2","","1520358384647","","","Право власності (у тому числі спільної власності), володіння чи користування суб’єкта декларування припинено","TRUE","","1520358384647",NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","Рухоме майно",614330,"Грошові кошти","","other","","1","","1490892748584","","","Інше","FALSE","Оплата навчання доньки","1490892748584","","","1","Алєксєєв Сергій Олегович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","Рухоме майно",0,"Грошові кошти","","other","","2","","1477652103392","","","Інше","TRUE","поворотна безвідсоткова фінансова допомога ","1477652103392",NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","Рухоме майно",0,"Транспортний засіб","","property_start","","2","","1490124719363","","","Суб’єкт декларування набув право власності (у тому числі спільної власності), володіння чи користування","TRUE","","1490124719363",NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","Рухоме майно",366500,"Грошові кошти","","other","","1","","1519069965166","","","Інше","FALSE","благодійна допомога","1519069965166","","","1","Андрієвський Дмитро Йосипович",NA
"Антонищак Андрій Федорович","Верховна Рада України","народний депутат України","nacp_c21a1cac-9b92-4348-9322-d870e539b092","Антонищак","FALSE","Федорович",2018-03-26,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c21a1cac-9b92-4348-9322-d870e539b092","Андрій","Нерухоме майно",1197900,"","Житловий будинок","purchase","","1","","1521547229642","","","Придбання","FALSE","","1521547229642","","","1","Антонищак Андрій Федорович",NA
"Антонищак Андрій Федорович","Верховна Рада України","народний депутат України","nacp_c21a1cac-9b92-4348-9322-d870e539b092","Антонищак","FALSE","Федорович",2018-03-26,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c21a1cac-9b92-4348-9322-d870e539b092","Андрій","Рухоме майно",298745,"Транспортний засіб","","purchase","","1","","1521547380440","","","Придбання","FALSE","","1521547380440","","","1","Антонищак Андрій Федорович",NA
"Антонищак Андрій Федорович","Верховна Рада України","народний депутат України","nacp_c21a1cac-9b92-4348-9322-d870e539b092","Антонищак","FALSE","Федорович",2018-03-26,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c21a1cac-9b92-4348-9322-d870e539b092","Андрій","Нерухоме майно",126000,"","Земельна ділянка","purchase","","1","","1521547313300","","","Придбання","FALSE","","1521547313300","","","1","Антонищак Андрій Федорович",NA
"Арешонков Володимир Юрійович","Верховна Рада України","Народний депутат України","nacp_768dd957-8066-4215-8143-4d852f28baaa","Арешонков","FALSE","Юрійович",2018-03-21,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_768dd957-8066-4215-8143-4d852f28baaa","Володимир","Нерухоме майно",191080,"","Інше нерухоме майно","leasing","","1","","1477522163394","готельний номер","","Оренда","FALSE","","1477522163394","","","1","Арешонков Володимир Юрійович",NA
