"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","emitent_ukr_fullname","dnt_objectType_encoded","emitent_ua_middlename","emitent_ua_lastname","dnt_is_foreign","emitent_eng_company_address","dateOrigin","emitent_ua_company_name","emitent_ukr_company_address","emitent_ua_firstname","person","emitent_ukr_company_name","emitent_ua_sameRegLivingAddress","ownerThirdPerson","guarantor_exist_","ownerThirdPersonThing","sizeObligation","emitent_eng_fullname","emitent_eng_company_name","guarantor_realty_exist_","dnt_sizeObligation_hidden","currency","emitent_eng_company_code","margin.emitent","emitent_ua_company_code","otherObjectType","iteration","objectType","emitent_citizen","object_id","emitent_ua_taxNumber_extendedstatus","emitent_ua_regAddress_extendedstatus","emitent_ua_actualAddress_extendedstatus","emitent_ua_birthday_extendedstatus","emitent_ua_company_code_extendedstatus","emitent_eng_company_code_extendedstatus","emitent_eng_taxNumber_extendedstatus","margin.emitent_extendedstatus","dateOrigin_extendedstatus","emitent_ukr_regAddress_extendedstatus","emitent_eng_regAddress_extendedstatus","emitent_ua_middlename_extendedstatus","emitent_ukr_company_address_extendedstatus","emitent_eng_company_address_extendedstatus","declarant","subjectRelation","in_hryvnias"
"Ар'єв Володимир Ігорович","Верховна Рада України","народний депутат України","nacp_23200a41-d9c1-44a6-a6c0-963701838d03","Ар'єв","FALSE","Ігорович",2018-03-26,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_23200a41-d9c1-44a6-a6c0-963701838d03","Володимир","","loans_received","","","FALSE","",2016-01-01,"","","","1","","","","FALSE","",45000,"","","TRUE","FALSE","UAH","","1","","","1476955940856","Отримані кредити","","1476955940856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ар'єв Володимир Ігорович",NA,45000
"Береза Борислав Юхимович","Верховна Рада України","Народний депутат УКраїни","nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Береза","FALSE","Юхимович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Борислав","","other","Беньямінович","Соколовський ","FALSE","",2017-04-14,"","","Олександр ","1477306706314","","FALSE","","FALSE","",3960000,"","","FALSE","FALSE","UAH","","j","","Договір про порядок задоволення вимог поручителя","1522134163756","Інше","Громадянин України","1522134163756","2","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Береза Наталія  Миколаївна","дружина",3960000
"Береза Борислав Юхимович","Верховна Рада України","Народний депутат УКраїни","nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Береза","FALSE","Юхимович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Борислав","","loans_paid","","","FALSE","",2016-08-05,"ПАТ Акціонерний Банк ""Південний""","","","1477306706314","","","","FALSE","",8750,"","","TRUE","FALSE","UAH","","j","20953647","","1490741246559","Розмір сплачених коштів в рахунок процентів за позикою (кредитом)","Юридична особа, зареєстрована в Україні","1490741246559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Береза Наталія  Миколаївна","дружина",8750
"Береза Борислав Юхимович","Верховна Рада України","Народний депутат УКраїни","nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Береза","FALSE","Юхимович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Борислав","","other","Беньямінович","Соколовський","FALSE","",2017-04-14,"","","Олександр","1477306706314","","FALSE","","FALSE","",1000000,"","","FALSE","FALSE","UAH","","j","","платіж за договором про порядок задоволення вимог поручителя","1522141087782","Інше","Громадянин України","1522141087782","2","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Береза Наталія  Миколаївна","дружина",1000000
"Береза Борислав Юхимович","Верховна Рада України","Народний депутат УКраїни","nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Береза","FALSE","Юхимович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Борислав","","loans_paid","","","FALSE","",2016-08-05,"ПАТ Акціонерний банк ""Південний""","","","1477306706314","","","","TRUE","",18199,"","","TRUE","FALSE","UAH","","j","20953647","","1490740443232","Розмір сплачених коштів в рахунок основної суми позики (кредиту)","Юридична особа, зареєстрована в Україні","1490740443232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Береза Наталія  Миколаївна","дружина",18199
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","","other","","","FALSE","",2015-09-08,"ПП ""Альфа""","","","1","","","","FALSE","",300000,"","","FALSE","FALSE","UAH","","j","32617278","Залишок грошового боргу","1519556919490","Інше","Юридична особа, зареєстрована в Україні","1519556919490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкін Станіслав Семенович",NA,300000
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","","other","","","FALSE","",2016-10-05,"ООО ВІП Авіа Груп","","","1476878331811","","","","FALSE","",225100,"","","FALSE","FALSE","UAH","","j","38858140","Залишок грошового боргу","1490003202359","Інше","Юридична особа, зареєстрована в Україні","1490003202359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина",225100
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","","loans_paid","","","FALSE","",2015-10-01,"ООО Грінстоун Менеджмент","","","1","","","","FALSE","",609850,"","","FALSE","FALSE","UAH","","j","39973638","","1490172228631","Розмір сплачених коштів в рахунок основної суми позики (кредиту)","Юридична особа, зареєстрована в Україні","1490172228631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкін Станіслав Семенович",NA,609850
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","","other","","","FALSE","",2015-10-08,"Грінстоун Менеджмент ТОВ","","","1","","","","FALSE","",1196440,"","","FALSE","FALSE","UAH","","j","39973638","залишок основної суми боргу","1521712594600","Інше","Юридична особа, зареєстрована в Україні","1521712594600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкін Станіслав Семенович",NA,1196440
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","","loans_paid","","","FALSE","",2016-10-03,"ТОВ ""ВІП АВІА ГРУП""","","","1476878331811","","","","FALSE","",124900,"","","FALSE","FALSE","UAH","","j","38858140","","1519556665772","Розмір сплачених коштів в рахунок основної суми позики (кредиту)","Юридична особа, зареєстрована в Україні","1519556665772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина",124900
