"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","person","legalForm","corporate_rights_company_code","country","corporate_rights_company_code_extendedstatus","iteration","en_name","name","dnt_cost_hidden","cost_percent","dnt_cost_percent_hidden","cost","object_id","ownershipType","otherOwnership","percent.ownership","cost_extendedstatus","cost_percent_extendedstatus","legalForm_extendedstatus","name_extendedstatus","en_name_extendedstatus","country_extendedstatus","declarant","subjectRelation"
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","1","Товариство з обмеженою відповідальністю","32248974","1",NA,"1476880026077","","""Екотехпром""","FALSE","100","FALSE","23570500","1476880026077",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","1519059995746","Товариство з обмеженою відповідальністю","34349442","1",NA,"1519388670212","","ТОВ ""Фабрика зірок""","FALSE","50","FALSE","17500","1519388670212","Власність","",NA,NA,NA,NA,NA,NA,NA,"Кириченко Катерина Володимирівна","дружина"
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","1","Товариствог з обмеженою відповідальністю","37888829","1",NA,"1477510562323","","ТОВ ""Управляюча компанія ""Інтеко""","FALSE","5","FALSE","5000","1477510562323","Власність","",NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","1519059995746","Товариство з обмеженою відповідальністю","37939752","1",NA,"1519388866811","","Товариство з обмеженою відповідальністю ""Юридична компанія Мірошніченко і Кириченко""","FALSE","50","FALSE","500","1519388866811","Власність","",NA,NA,NA,NA,NA,NA,NA,"Кириченко Катерина Володимирівна","дружина"
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","1519059995746","Товариство з обмеженою відповідальністю","35428305","1",NA,"1519389149818","","Товариство з обмеженою відповідальністю ""Інсайт Консалтінг""","FALSE","33.33","FALSE","14665","1519389149818","Власність","",NA,NA,NA,NA,NA,NA,NA,"Кириченко Катерина Володимирівна","дружина"
"Бабак Альона Валеріївна","Верховна Рада України","народний депутат України","nacp_cc42ddfc-bf48-4185-bd45-0d08cc6e88e5","Бабак","FALSE","Валеріївна",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_cc42ddfc-bf48-4185-bd45-0d08cc6e88e5","Альона","1","Товариство з обмеженою відповідальністю","33146866","1",NA,"1489396386364","","Інститут місцевого розвитку","FALSE","11.25","FALSE","9000","1489396386364","Спільна власність","",11.25,NA,NA,NA,NA,NA,NA,"Бабак Альона Валеріївна",NA
"Бакулін Євген Миколайович","Верховна Рада України","Народний депутат України","nacp_928c9e2e-17f5-41b3-a44a-fa01ac29cb92","Бакулін","FALSE","Миколайович",2018-03-24,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_928c9e2e-17f5-41b3-a44a-fa01ac29cb92","Євген","1477677417419","Товариство з обмеженою відповідальністю","38315904","1",NA,"1478264575413","","ТОВ "" Рінтол ""","FALSE","25","FALSE","750000","1478264575413","Спільна власність","",25,NA,NA,NA,NA,NA,NA,"Бакулін Микола Євгенович","син"
"Бакулін Євген Миколайович","Верховна Рада України","Народний депутат України","nacp_928c9e2e-17f5-41b3-a44a-fa01ac29cb92","Бакулін","FALSE","Миколайович",2018-03-24,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_928c9e2e-17f5-41b3-a44a-fa01ac29cb92","Євген","1477677689878","Товариство з обмеженою відповідальністю","38315904","1",NA,"1478264957014","","ТОВ "" Рінтол ""","FALSE","25","FALSE","750000","1478264957014","Спільна власність","",25,NA,NA,NA,NA,NA,NA,"Бакуліна Світлана Євгенівна","дочка"
"Бакуменко Олександр Борисович","Верховна Рада України","Народний депутат України","nacp_bfd6afbb-b028-4ced-93c7-7cd1892ed4ad","Бакуменко","FALSE","Борисович",2018-02-15,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_bfd6afbb-b028-4ced-93c7-7cd1892ed4ad","Олександр","1","Товариство з обмеженою відповідальністю","33395422","1",NA,"1477309298151","","Первомайське підприємство по інкубації та птахівництву","FALSE","10","FALSE","18599","1477309298151","Власність","",NA,NA,NA,NA,NA,NA,NA,"Бакуменко Олександр Борисович",NA
"Балога Віктор Іванович","Верховна Рада України","народний депутат України","nacp_b7368fa6-b008-4773-8f32-f3691cf6fce8","Балога","FALSE","Іванович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_b7368fa6-b008-4773-8f32-f3691cf6fce8","Віктор","1476987872150","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","33537974","1",NA,"1477085748271","","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РУСИНІЯ"" ","FALSE","100","FALSE","18000000","1477085748271","Власність","",NA,NA,NA,NA,NA,NA,NA,"Балога Оксана  Анатоліївна","особи, які спільно проживають, але не перебувають у шлюбі"
