"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","emitent_ukr_fullname","emitent_ua_firstname","emitent_type","emitent_ua_lastname","emitent_eng_company_address","emitent","emitent_ukr_company_address","amount","subTypeProperty1","person","emitent_ukr_company_name","emitent_ua_sameRegLivingAddress","emitent_eng_fullname","cost","emitent_eng_company_name","otherObjectType","subTypeProperty2","emitent_eng_company_code","dnt_amount_hidden","emitent_ua_company_code","owningDate","emitent_eng_sameRegLivingAddress","iteration","emitent_ua_middlename","emitent_ua_company_name","dnt_cost_hidden","typeProperty","object_id","ownershipType","otherOwnership","percent.ownership","emitent_eng_lastname","emitent_eng_middlename","emitent_eng_firstname","subTypeProperty","emitent_ukr_lastname","emitent_ukr_middlename","emitent_ukr_firstname","emitent_ua_company_code_extendedstatus","amount_extendedstatus","cost_extendedstatus","owningDate_extendedstatus","emitent_ukr_company_address_extendedstatus","emitent_extendedstatus","emitent_eng_company_address_extendedstatus","emitent_eng_company_code_extendedstatus","declarant","subjectRelation"
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","","","Юридична особа, зареєстрована в Україні","","","j","","1700","","1","","","","1","","","","","FALSE","19019775",2003-02-14,"","1477509580712","","ПАТ ""УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК""","FALSE","Акції","1477509580712","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","","","Юридична особа, зареєстрована в Україні","","","j","","200","","1","","","","0.25","","","","","FALSE","03327664",2006-09-28,"","1477666737473","","ПАТ ""АКЦІОНЕРНЕ ТОВАРИСТВО ""КИІЇВВОДОКАНАЛ""","FALSE","Акції","1477666737473","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","","","Юридична особа, зареєстрована в Україні","","","j","","6120","","1","","","","0.25","","","","","FALSE","03327664",2006-10-18,"","1477509097385","","ПАТ ""АКЦІОНЕРНЕ ТОВАРИСТВО ""КИЇВВОДОКАНАЛ""","FALSE","Акції","1477509097385","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","","","Юридична особа, зареєстрована в Україні","","","j","","153","","1","","","","5","","","","","FALSE","03360880",2012-11-20,"","1477509716436","","ПАТ ""СПЕЦІАЛІЗОВАНЕ УПРАВЛІННЯ ПРОТИЗСУВНИХ ПІДЗЕМНИХ РОБІТ""","FALSE","Акції","1477509716436","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","","","Юридична особа, зареєстрована за кордоном","","Zenas Kanther and Origenous, P.C. 3035, Limassol, Cyprus ","j","Зінас Кантер та Орігенус 3035, Лімасол, Кіпр ","1000","","1","Компанія РЕСТІМА КОНСТРАКШН ЛІМІТЕД","","","17.96","RESTIMA CONSTRUCTION LIMITED","","","HE178400","FALSE","",2016-09-27,"","1477509983879","","","FALSE","Акції","1477509983879","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","Андрієвський Дмитро Йосипович",NA
"Балога Іван Іванович","Верховна Рада України","Народний депутат України","nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","Балога","FALSE","Іванович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","Іван","","","Юридична особа, зареєстрована в Україні","","","j","","808994","","1477381027987","","","","202249","","","","","FALSE","01034797",2016-05-06,"","1477488444219","","ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МУКАЧІВСЬКА АВТОБАЗА""","FALSE","Акції","1477488444219","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Балога Лілія Володимирівна","дружина"
"Бендюженко Федір Володимирович","Верховна Рада України","Народний депутат України","nacp_5297f00b-fca3-4a3c-9699-e3ccc6d5a5ab","Бендюженко","TRUE","Володимирович",2018-03-22,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5297f00b-fca3-4a3c-9699-e3ccc6d5a5ab","Федір","","","Юридична особа, зареєстрована в Україні","","","j","","30","","1","","","","0.35","","","","","FALSE","00017733",2003-06-03,"","1521645211147","","Приватне акціонерне товариство ""Судноплавна компанія ""Укррічфлот""","FALSE","Акції","1521645211147","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бендюженко Федір Володимирович",NA
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","","","Юридична особа, зареєстрована за кордоном","","Geneva Place, Waterfront Drive, P.O. Box 3469, Road Town, Tortola, British Virgin island.","j","Женева Плейс, Уотерфронт Драйв, Роуд Тоун, Британські Вірджинські остнови, п/с/ 3469.","333","","1","Віттар Холдінгз Лтд. ","","","9347.31","Vittar Holdings Ltd. ","","","1860038","FALSE","",2015-01-23,"","1478183540967","","","FALSE","Акції","1478183540967","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкін Станіслав Семенович",NA
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","","","Юридична особа, зареєстрована за кордоном","","Geneva Place, 2nd Floor, P.O. Box 3339, Road Town, Tortola, British Virgin island.","j","Женева Плейс, 2-ий поверх, п/с 3339, Роуд Таун, Тортола, Британські Вірргінські острови.","100","","1","Хокпойнт Лтд","","","28070","Hawkpoint Ltd","","","1055295","FALSE","",2008-11-12,"","1477488474305","","","FALSE","Акції","1477488474305","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкін Станіслав Семенович",NA
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","","","Юридична особа, зареєстрована за кордоном","","11 Boumpolinas Street, 1st Floor, 1060, Nicosia, Cyprus.","j","вул. Бумполінас 11, 1-й поверх, 1060, Нікосія, Кіпр.","600","","1","Паілль Трейдінг Лімітед","","","20100","Paille Trading Limited","","","HE242720","FALSE","",2009-01-26,"","1477485770322","","","FALSE","Акції","1477485770322","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкін Станіслав Семенович",NA
